Subject,Model,FeatureType,accuracy,balanced_accuracy,kappa,sensitivity,specificity,precision,f1
S01,LogReg_L2,Nodes,0.48627450980392156,0.487666092519685,-0.024598963285587194,0.1328125,0.84251968503937,0.4594594594594595,0.20606060606060606
S01,LinearSVM,Nodes,0.48627450980392156,0.487666092519685,-0.024598963285587194,0.1328125,0.84251968503937,0.4594594594594595,0.20606060606060606
S01,RBF_SVM,Nodes,0.49019607843137253,0.4896038385826772,-0.02081665332265814,0.640625,0.33858267716535434,0.4939759036144578,0.5578231292517006
S01,RandomForest,Nodes,0.5137254901960784,0.5151636318897638,0.030239833159541263,0.1484375,0.8818897637795275,0.5588235294117647,0.2345679012345679
S01,GradientBoosting,Nodes,0.5058823529411764,0.5043368602362205,0.008700481303220986,0.8984375,0.11023622047244094,0.5043859649122807,0.6460674157303371
S01,KNN,Nodes,0.5529411764705883,0.5521038385826772,0.1043810462751864,0.765625,0.33858267716535434,0.5384615384615384,0.632258064516129
S02,LogReg_L2,Nodes,0.4744525547445255,0.4744525547445256,-0.051094890510948954,0.24087591240875914,0.708029197080292,0.4520547945205479,0.3142857142857143
S02,LinearSVM,Nodes,0.4708029197080292,0.47080291970802923,-0.058394160583941535,0.23357664233576642,0.708029197080292,0.4444444444444444,0.3062200956937799
S02,RBF_SVM,Nodes,0.5364963503649635,0.5364963503649636,0.07299270072992703,0.4744525547445255,0.5985401459854015,0.5416666666666666,0.5058365758754864
S02,RandomForest,Nodes,0.5,0.5,0.0,0.5766423357664233,0.4233576642335766,0.5,0.535593220338983
S02,GradientBoosting,Nodes,0.4744525547445255,0.4744525547445255,-0.051094890510948954,0.6715328467153284,0.2773722627737226,0.4816753926701571,0.5609756097560976
S02,KNN,Nodes,0.5364963503649635,0.5364963503649636,0.07299270072992703,0.5109489051094891,0.5620437956204379,0.5384615384615384,0.5243445692883895
S05,LogReg_L2,Nodes,0.5691699604743083,0.5698975128108986,0.13959002839224977,0.3858267716535433,0.753968253968254,0.6125,0.47342995169082125
S05,LinearSVM,Nodes,0.5849802371541502,0.5856142982127235,0.17100951786550167,0.4251968503937008,0.746031746031746,0.627906976744186,0.5070422535211268
S05,RBF_SVM,Nodes,0.5731225296442688,0.5742719660042495,0.14820125943013907,0.28346456692913385,0.8650793650793651,0.6792452830188679,0.4
S05,RandomForest,Nodes,0.525691699604743,0.5264966879140107,0.05290741202894933,0.3228346456692913,0.7301587301587301,0.5466666666666666,0.40594059405940597
S05,GradientBoosting,Nodes,0.5296442687747036,0.5310898637670292,0.061999563822164094,0.16535433070866143,0.8968253968253969,0.6176470588235294,0.2608695652173913
S05,KNN,Nodes,0.525691699604743,0.526246719160105,0.05243445692883897,0.3858267716535433,0.6666666666666666,0.5384615384615384,0.44954128440366975
S09,LogReg_L2,Nodes,0.549407114624506,0.5505249343832022,0.10082304526748975,0.2677165354330709,0.8333333333333334,0.6181818181818182,0.37362637362637363
S09,LinearSVM,Nodes,0.5573122529644269,0.5583989501312336,0.11654299432562198,0.28346456692913385,0.8333333333333334,0.631578947368421,0.391304347826087
S09,RBF_SVM,Nodes,0.49407114624505927,0.4959067616547932,-0.008156403710852356,0.031496062992125984,0.9603174603174603,0.4444444444444444,0.058823529411764705
S09,RandomForest,Nodes,0.525691699604743,0.5263717035370579,0.052670993509735364,0.3543307086614173,0.6984126984126984,0.5421686746987951,0.42857142857142855
S09,GradientBoosting,Nodes,0.5098814229249012,0.5104361954755656,0.02084893882646688,0.3700787401574803,0.6507936507936508,0.5164835164835165,0.43119266055045874
S09,KNN,Nodes,0.5612648221343873,0.5609611298587677,0.12199468500859789,0.6377952755905512,0.48412698412698413,0.5547945205479452,0.5934065934065934
S21,LogReg_L2,Nodes,0.592156862745098,0.5920275590551181,0.18410041841004188,0.625,0.5590551181102362,0.5882352941176471,0.6060606060606061
S21,LinearSVM,Nodes,0.5882352941176471,0.5880597933070866,0.17617919448632358,0.6328125,0.5433070866141733,0.5827338129496403,0.6067415730337079
S21,RBF_SVM,Nodes,0.5529411764705883,0.5522268700787402,0.10460173720199595,0.734375,0.3700787401574803,0.5402298850574713,0.6225165562913907
S21,RandomForest,Nodes,0.5058823529411764,0.5055056594488189,0.01101945333661658,0.6015625,0.4094488188976378,0.506578947368421,0.55
S21,GradientBoosting,Nodes,0.5372549019607843,0.5368479330708662,0.07375484824231981,0.640625,0.4330708661417323,0.5324675324675324,0.5815602836879432
S21,KNN,Nodes,0.47843137254901963,0.4783464566929134,-0.04331374780816444,0.5,0.4566929133858268,0.48120300751879697,0.4904214559386973
S31,LogReg_L2,Nodes,0.47843137254901963,0.4795152559055118,-0.04088021360832328,0.203125,0.7559055118110236,0.45614035087719296,0.2810810810810811
S31,LinearSVM,Nodes,0.47843137254901963,0.4795152559055118,-0.04088021360832328,0.203125,0.7559055118110236,0.45614035087719296,0.2810810810810811
S31,RBF_SVM,Nodes,0.4980392156862745,0.5,0.0,0.0,1.0,0.0,0.0
S31,RandomForest,Nodes,0.5019607843137255,0.5016609251968505,0.003323792816914528,0.578125,0.4251968503937008,0.5034013605442177,0.5381818181818182
S31,GradientBoosting,Nodes,0.4666666666666667,0.4657357283464567,-0.06865524466904982,0.703125,0.2283464566929134,0.4787234042553192,0.569620253164557
S31,KNN,Nodes,0.43137254901960786,0.4315329724409449,-0.13688774098330425,0.390625,0.47244094488188976,0.42735042735042733,0.40816326530612246
S34,LogReg_L2,Nodes,0.5355648535564853,0.5344887955182073,0.06912523246429703,0.7916666666666666,0.2773109243697479,0.5248618784530387,0.6312292358803987
S34,LinearSVM,Nodes,0.5062761506276151,0.504796918767507,0.009622137940721975,0.8583333333333333,0.15126050420168066,0.5049019607843137,0.6358024691358025
S34,RBF_SVM,Nodes,0.497907949790795,0.5,0.0,0.0,1.0,0.0,0.0
S34,RandomForest,Nodes,0.5230125523012552,0.5233543417366946,0.0466759972008397,0.44166666666666665,0.6050420168067226,0.53,0.4818181818181818
S34,GradientBoosting,Nodes,0.5648535564853556,0.5647759103641457,0.12956996778260266,0.5833333333333334,0.5462184873949579,0.5645161290322581,0.5737704918032787
S34,KNN,Nodes,0.5732217573221757,0.57296918767507,0.1460099488544806,0.6333333333333333,0.5126050420168067,0.5671641791044776,0.5984251968503937
S39,LogReg_L2,Nodes,0.602510460251046,0.6038865546218488,0.2071999720660639,0.275,0.9327731092436975,0.8048780487804879,0.40993788819875776
S39,LinearSVM,Nodes,0.5899581589958159,0.5908263305322129,0.18133519748339744,0.38333333333333336,0.7983193277310925,0.6571428571428571,0.4842105263157895
S39,RBF_SVM,Nodes,0.5062761506276151,0.5066526610644257,0.013295080820096561,0.4166666666666667,0.5966386554621849,0.5102040816326531,0.45871559633027525
S39,RandomForest,Nodes,0.4895397489539749,0.48977591036414564,-0.020438160565549035,0.43333333333333335,0.5462184873949579,0.49056603773584906,0.46017699115044247
