Subject,Model,FeatureType,accuracy,balanced_accuracy,kappa,sensitivity,specificity,precision,f1
S1,LogReg_L2,CSP(2),0.517647059,0.516363189,0.032810139,0.84375,0.188976378,0.511848341,0.637168142
S1,LinearSVM,CSP(2),0.501960784,0.500768947,0.001541545,0.8046875,0.196850394,0.502439024,0.618618619
S1,RBF_SVM,CSP(2),0.482352941,0.480714813,-0.038696538,0.8984375,0.062992126,0.491452991,0.635359116
S1,RandomForest,CSP(2),0.490196078,0.488773376,-0.022516965,0.8515625,0.125984252,0.495454545,0.626436782
S1,GradientBoosting,CSP(2),0.494117647,0.492464321,-0.015121123,0.9140625,0.070866142,0.49787234,0.644628099
S1,KNN,CSP(2),0.501960784,0.500522884,0.001048768,0.8671875,0.133858268,0.502262443,0.636103152
S2,LogReg_L2,CSP(2),0.559701493,0.563948307,0.126794787,0.279411765,0.848484848,0.655172414,0.391752577
S2,LinearSVM,CSP(2),0.567164179,0.569852941,0.138931974,0.389705882,0.75,0.61627907,0.477477477
S2,RBF_SVM,CSP(2),0.492537313,0.5,0,0,1,0,0
S2,RandomForest,CSP(2),0.559701493,0.560160428,0.120186957,0.529411765,0.590909091,0.571428571,0.549618321
S2,GradientBoosting,CSP(2),0.559701493,0.560160428,0.120186957,0.529411765,0.590909091,0.571428571,0.549618321
S2,KNN,CSP(2),0.552238806,0.552139037,0.104278075,0.558823529,0.545454545,0.558823529,0.558823529
S21,LogReg_L2,CSP(2),0.539370079,0.539370079,0.078740157,0.102362205,0.976377953,0.8125,0.181818182
S21,LinearSVM,CSP(2),0.535433071,0.535433071,0.070866142,0.102362205,0.968503937,0.764705882,0.180555556
S21,RBF_SVM,CSP(2),0.535433071,0.535433071,0.070866142,0.102362205,0.968503937,0.764705882,0.180555556
S21,RandomForest,CSP(2),0.523622047,0.523622047,0.047244094,0.204724409,0.842519685,0.565217391,0.300578035
S21,GradientBoosting,CSP(2),0.507874016,0.507874016,0.015748031,0.204724409,0.811023622,0.52,0.293785311
S21,KNN,CSP(2),0.523622047,0.523622047,0.047244094,0.070866142,0.976377953,0.75,0.129496403
S31,LogReg_L2,CSP(2),0.678571429,0.678571429,0.357142857,0.53968254,0.817460317,0.747252747,0.626728111
S31,LinearSVM,CSP(2),0.670634921,0.670634921,0.341269841,0.523809524,0.817460317,0.741573034,0.613953488
S31,RBF_SVM,CSP(2),0.642857143,0.642857143,0.285714286,0.484126984,0.801587302,0.709302326,0.575471698
S31,RandomForest,CSP(2),0.615079365,0.615079365,0.23015873,0.468253968,0.761904762,0.662921348,0.548837209
S31,GradientBoosting,CSP(2),0.626984127,0.626984127,0.253968254,0.476190476,0.777777778,0.681818182,0.560747664
S31,KNN,CSP(2),0.630952381,0.630952381,0.261904762,0.523809524,0.738095238,0.666666667,0.586666667
S34,LogReg_L2,CSP(2),0.584033613,0.583403955,0.167008414,0.658333333,0.508474576,0.576642336,0.614785992
S34,LinearSVM,CSP(2),0.588235294,0.587853107,0.175830389,0.633333333,0.542372881,0.584615385,0.608
S34,RBF_SVM,CSP(2),0.592436975,0.591384181,0.183143443,0.716666667,0.466101695,0.577181208,0.639405204
S34,RandomForest,CSP(2),0.605042017,0.604590395,0.209358213,0.658333333,0.550847458,0.598484848,0.626984127
S34,GradientBoosting,CSP(2),0.571428571,0.570903955,0.141948254,0.633333333,0.508474576,0.567164179,0.598425197
S34,KNN,CSP(2),0.575630252,0.575,0.150180301,0.65,0.5,0.569343066,0.607003891
S39,LogReg_L2,CSP(2),0.569620253,0.571367521,0.142218437,0.433333333,0.709401709,0.604651163,0.504854369
S39,LinearSVM,CSP(2),0.573839662,0.575961538,0.151260504,0.408333333,0.743589744,0.620253165,0.492462312
S39,RBF_SVM,CSP(2),0.535864979,0.536965812,0.07375826,0.45,0.623931624,0.551020408,0.495412844
S39,RandomForest,CSP(2),0.497890295,0.499465812,-0.001064849,0.375,0.623931624,0.505617978,0.43062201
S39,GradientBoosting,CSP(2),0.481012658,0.482799145,-0.03427355,0.341666667,0.623931624,0.482352941,0.4
S39,KNN,CSP(2),0.53164557,0.53258547,0.065038917,0.458333333,0.606837607,0.544554455,0.497737557
S5,LogReg_L2,CSP(2),0.515873016,0.515873016,0.031746032,0.158730159,0.873015873,0.555555556,0.24691358
S5,LinearSVM,CSP(2),0.507936508,0.507936508,0.015873016,0.158730159,0.857142857,0.526315789,0.243902439
S5,RBF_SVM,CSP(2),0.511904762,0.511904762,0.023809524,0.103174603,0.920634921,0.565217391,0.174496644
S5,RandomForest,CSP(2),0.5,0.5,0,0.174603175,0.825396825,0.5,0.258823529
S5,GradientBoosting,CSP(2),0.472222222,0.472222222,-0.055555556,0.253968254,0.69047619,0.450704225,0.324873096
S5,KNN,CSP(2),0.488095238,0.488095238,-0.023809524,0.142857143,0.833333333,0.461538462,0.218181818
S9,LogReg_L2,CSP(2),0.778656126,0.779152606,0.557747534,0.653543307,0.904761905,0.873684211,0.747747748
S9,LinearSVM,CSP(2),0.786561265,0.786807899,0.573329169,0.724409449,0.849206349,0.828828829,0.773109244
S9,RBF_SVM,CSP(2),0.774703557,0.77512186,0.549779901,0.669291339,0.880952381,0.85,0.748898678
S9,RandomForest,CSP(2),0.723320158,0.724096988,0.447494852,0.527559055,0.920634921,0.87012987,0.656862745
S9,GradientBoosting,CSP(2),0.727272727,0.727190351,0.454451702,0.748031496,0.706349206,0.71969697,0.733590734
S9,KNN,CSP(2),0.754940711,0.755499313,0.510424469,0.614173228,0.896825397,0.857142857,0.71559633
