Subject,Model,FeatureType,accuracy,balanced_accuracy,kappa,sensitivity,specificity,precision,f1
S1,LogReg_L2,PSD_subband,0.4627450980392157,0.46201402559055116,-0.07608193439088251,0.6484375,0.2755905511811024,0.4742857142857143,0.5478547854785478
S1,LinearSVM,PSD_subband,0.4627450980392157,0.4625984251968504,-0.07482386241270023,0.5,0.4251968503937008,0.46715328467153283,0.4830188679245283
S1,RBF_SVM,PSD_subband,0.5058823529411764,0.5043061023622047,0.008639308855291516,0.90625,0.10236220472440945,0.5043478260869565,0.6480446927374302
S1,RandomForest,PSD_subband,0.47058823529411764,0.46967273622047245,-0.06076479832372961,0.703125,0.23622047244094488,0.48128342245989303,0.5714285714285714
S1,GradientBoosting,PSD_subband,0.4980392156862745,0.4966166338582677,-0.006785934608266597,0.859375,0.13385826771653545,0.5,0.632183908045977
S1,KNN,PSD_subband,0.4666666666666667,0.46564345472440943,-0.06885286321888673,0.7265625,0.2047244094488189,0.4793814432989691,0.577639751552795
S2,LogReg_L2,PSD_subband,0.6423357664233577,0.6423357664233577,0.2846715328467153,0.6788321167883211,0.6058394160583942,0.6326530612244898,0.6549295774647887
S2,LinearSVM,PSD_subband,0.6277372262773723,0.6277372262773723,0.25547445255474455,0.656934306569343,0.5985401459854015,0.6206896551724138,0.6382978723404256
S2,RBF_SVM,PSD_subband,0.6058394160583942,0.6058394160583942,0.21167883211678828,0.7956204379562044,0.41605839416058393,0.5767195767195767,0.6687116564417178
S2,RandomForest,PSD_subband,0.5985401459854015,0.5985401459854015,0.1970802919708029,0.7883211678832117,0.40875912408759124,0.5714285714285714,0.6625766871165644
S2,GradientBoosting,PSD_subband,0.5291970802919708,0.5291970802919708,0.058394160583941646,0.36496350364963503,0.6934306569343066,0.5434782608695652,0.4366812227074236
S2,KNN,PSD_subband,0.5875912408759124,0.5875912408759124,0.17518248175182483,0.708029197080292,0.46715328467153283,0.5705882352941176,0.6319218241042345
S21,LogReg_L2,PSD_subband,0.6470588235294118,0.6473917322834646,0.29458412737443906,0.5625,0.7322834645669292,0.6792452830188679,0.6153846153846154
S21,LinearSVM,PSD_subband,0.6392156862745098,0.6394562007874016,0.278775209050664,0.578125,0.7007874015748031,0.6607142857142857,0.6166666666666667
S21,RBF_SVM,PSD_subband,0.6078431372549019,0.6080524114173229,0.21601180593986358,0.5546875,0.6614173228346457,0.6228070175438597,0.5867768595041323
S21,RandomForest,PSD_subband,0.6431372549019608,0.6426242618110236,0.28553834785553744,0.7734375,0.5118110236220472,0.6149068322981367,0.6851211072664359
S21,GradientBoosting,PSD_subband,0.5372549019607843,0.5372785433070866,0.07455250046133965,0.53125,0.5433070866141733,0.5396825396825397,0.5354330708661418
S21,KNN,PSD_subband,0.5372549019607843,0.5366633858267716,0.073412576214818,0.6875,0.3858267716535433,0.5301204819277109,0.5986394557823129
S31,LogReg_L2,PSD_subband,0.6549019607843137,0.6549889271653544,0.30992065932714197,0.6328125,0.6771653543307087,0.6639344262295082,0.648
S31,LinearSVM,PSD_subband,0.6431372549019608,0.6431779035433071,0.286329386437029,0.6328125,0.6535433070866141,0.648,0.6403162055335968
S31,RBF_SVM,PSD_subband,0.5803921568627451,0.5804010826771653,0.16079721957370896,0.578125,0.5826771653543307,0.5826771653543307,0.5803921568627451
S31,RandomForest,PSD_subband,0.6235294117647059,0.6234313484251969,0.2469082630898911,0.6484375,0.5984251968503937,0.6194029850746269,0.6335877862595419
S31,GradientBoosting,PSD_subband,0.4980392156862745,0.49796998031496065,-0.0040605389442600615,0.515625,0.48031496062992124,0.5,0.5076923076923077
S31,KNN,PSD_subband,0.5254901960784314,0.525744340551181,0.05146177257216633,0.4609375,0.5905511811023622,0.5315315315315315,0.49372384937238495
S34,LogReg_L2,PSD_subband,0.5857740585774058,0.5854341736694677,0.17098209593216784,0.6666666666666666,0.5042016806722689,0.5755395683453237,0.6177606177606177
S34,LinearSVM,PSD_subband,0.5397489539748954,0.5397058823529413,0.07941732614328734,0.55,0.5294117647058824,0.5409836065573771,0.5454545454545454
S34,RBF_SVM,PSD_subband,0.5941422594142259,0.5936274509803922,0.18744523500753574,0.7166666666666667,0.47058823529411764,0.5771812080536913,0.6394052044609665
S34,RandomForest,PSD_subband,0.5983263598326359,0.5982843137254902,0.1965823937250507,0.6083333333333333,0.5882352941176471,0.5983606557377049,0.6033057851239669
S34,GradientBoosting,PSD_subband,0.6108786610878661,0.6111344537815127,0.22215223097112857,0.55,0.6722689075630253,0.6285714285714286,0.5866666666666667
S34,KNN,PSD_subband,0.5564853556485355,0.5562324929971989,0.11252014292720536,0.6166666666666667,0.4957983193277311,0.5522388059701493,0.5826771653543307
S39,LogReg_L2,PSD_subband,0.5313807531380753,0.5324229691876751,0.06470999301187974,0.2833333333333333,0.7815126050420168,0.5666666666666667,0.37777777777777777
S39,LinearSVM,PSD_subband,0.5564853556485355,0.5573879551820728,0.11456731441353274,0.3416666666666667,0.773109243697479,0.6029411764705882,0.43617021276595747
S39,RBF_SVM,PSD_subband,0.5271966527196653,0.5283613445378151,0.056589932581129654,0.25,0.8067226890756303,0.5660377358490566,0.3468208092485549
S39,RandomForest,PSD_subband,0.5481171548117155,0.5488095238095239,0.09748251748251746,0.38333333333333336,0.7142857142857143,0.575,0.46
S39,GradientBoosting,PSD_subband,0.497907949790795,0.49856442577030813,-0.0028673333799567047,0.3416666666666667,0.6554621848739496,0.5,0.40594059405940597
S39,KNN,PSD_subband,0.5355648535564853,0.5361344537815127,0.07218549994753953,0.4,0.6722689075630253,0.5517241379310345,0.463768115942029
S5,LogReg_L2,PSD_subband,0.5375494071146245,0.5389951256092989,0.07776427703523692,0.1732283464566929,0.9047619047619048,0.6470588235294118,0.2732919254658385
S5,LinearSVM,PSD_subband,0.5533596837944664,0.554618172728409,0.10896057347670252,0.23622047244094488,0.873015873015873,0.6521739130434783,0.3468208092485549
S5,RBF_SVM,PSD_subband,0.5335968379446641,0.5352768403949506,0.07031639262580969,0.11023622047244094,0.9603174603174603,0.7368421052631579,0.1917808219178082
S5,RandomForest,PSD_subband,0.4980237154150198,0.49806274215723034,-0.003874152529134145,0.4881889763779528,0.5079365079365079,0.5,0.4940239043824701
S5,GradientBoosting,PSD_subband,0.5059288537549407,0.5065616797900262,0.013106568887501946,0.3464566929133858,0.6666666666666666,0.5116279069767442,0.4131455399061033
S5,KNN,PSD_subband,0.541501976284585,0.5419010123734533,0.08373399937558546,0.4409448818897638,0.6428571428571429,0.5544554455445545,0.49122807017543857
S9,LogReg_L2,PSD_subband,0.6284584980237155,0.6293275840519935,0.25820336868371807,0.4094488188976378,0.8492063492063492,0.7323943661971831,0.5252525252525253
S9,LinearSVM,PSD_subband,0.6561264822134387,0.6566366704161979,0.31295065081000095,0.5275590551181102,0.7857142857142857,0.7127659574468085,0.6063348416289592
S9,RBF_SVM,PSD_subband,0.5849802371541502,0.5857705286839145,0.17126813289658394,0.3858267716535433,0.7857142857142857,0.6447368421052632,0.4827586206896552
S9,RandomForest,PSD_subband,0.5849802371541502,0.5859267591551056,0.17152658662092612,0.3464566929133858,0.8253968253968254,0.6666666666666666,0.45595854922279794
S9,GradientBoosting,PSD_subband,0.5375494071146245,0.5373390826146731,0.074708511768935,0.5905511811023622,0.48412698412698413,0.5357142857142857,0.5617977528089888
S9,KNN,PSD_subband,0.4624505928853755,0.46391076115485563,-0.07196710075394108,0.09448818897637795,0.8333333333333334,0.36363636363636365,0.15
