Subject,Model,FeatureType,accuracy,balanced_accuracy,kappa,sensitivity,specificity,precision,f1
S1,LogReg_L2,Riemannian_TangentSpace,0.49019607843137253,0.48901943897637795,-0.022012578616352307,0.7890625,0.1889763779527559,0.4950980392156863,0.608433734939759
S1,LinearSVM,Riemannian_TangentSpace,0.49019607843137253,0.4887118602362205,-0.022643139190523076,0.8671875,0.11023622047244094,0.4955357142857143,0.6306818181818182
S1,RBF_SVM,Riemannian_TangentSpace,0.49411764705882355,0.49240280511811024,-0.015246443011018185,0.9296875,0.05511811023622047,0.497907949790795,0.6485013623978202
S1,RandomForest,Riemannian_TangentSpace,0.4980392156862745,0.4968011811023622,-0.006413418845584662,0.8125,0.18110236220472442,0.5,0.6190476190476191
S1,GradientBoosting,Riemannian_TangentSpace,0.5019607843137255,0.5026759350393701,0.0053441444761817,0.3203125,0.6850393700787402,0.5061728395061729,0.3923444976076555
S1,KNN,Riemannian_TangentSpace,0.4980392156862745,0.4963705708661417,-0.007283051475126534,0.921875,0.07086614173228346,0.5,0.6483516483516484
S2,LogReg_L2,Riemannian_TangentSpace,0.5291970802919708,0.5291970802919708,0.058394160583941646,0.8613138686131386,0.19708029197080293,0.5175438596491229,0.6465753424657534
S2,LinearSVM,Riemannian_TangentSpace,0.5328467153284672,0.5328467153284672,0.06569343065693434,0.8613138686131386,0.20437956204379562,0.5198237885462555,0.6483516483516484
S2,RBF_SVM,Riemannian_TangentSpace,0.5182481751824818,0.5182481751824818,0.03649635036496346,0.8248175182481752,0.2116788321167883,0.5113122171945701,0.6312849162011173
S2,RandomForest,Riemannian_TangentSpace,0.5547445255474452,0.5547445255474452,0.10948905109489049,0.7737226277372263,0.3357664233576642,0.5380710659898477,0.6347305389221557
S2,GradientBoosting,Riemannian_TangentSpace,0.5693430656934306,0.5693430656934306,0.13868613138686137,0.7883211678832117,0.35036496350364965,0.5482233502538071,0.6467065868263473
S2,KNN,Riemannian_TangentSpace,0.5766423357664233,0.5766423357664233,0.15328467153284675,0.7299270072992701,0.4233576642335766,0.5586592178770949,0.6329113924050633
S21,LogReg_L2,Riemannian_TangentSpace,0.6862745098039216,0.6869463582677166,0.37338739402875043,0.515625,0.8582677165354331,0.7857142857142857,0.6226415094339622
S21,LinearSVM,Riemannian_TangentSpace,0.6784313725490196,0.6792261318897638,0.3578798673381648,0.4765625,0.8818897637795275,0.8026315789473685,0.5980392156862745
S21,RBF_SVM,Riemannian_TangentSpace,0.7058823529411765,0.7057701771653544,0.41162898015689897,0.734375,0.6771653543307087,0.6962962962962963,0.714828897338403
S21,RandomForest,Riemannian_TangentSpace,0.615686274509804,0.6166031003937008,0.2327766179540709,0.3828125,0.8503937007874016,0.7205882352941176,0.5
S21,GradientBoosting,Riemannian_TangentSpace,0.611764705882353,0.6124815452755905,0.22463834884363776,0.4296875,0.7952755905511811,0.6790123456790124,0.5263157894736842
S21,KNN,Riemannian_TangentSpace,0.5803921568627451,0.5805548720472441,0.1610552532054238,0.5390625,0.6220472440944882,0.5897435897435898,0.563265306122449
S31,LogReg_L2,Riemannian_TangentSpace,0.6352941176470588,0.6346887303149606,0.2697009823545715,0.7890625,0.48031496062992124,0.6047904191616766,0.6847457627118644
