subject,metric,class,mean_cv_edges,std_cv_edges,mean_cv_ns,std_cv_ns,mean_cv_clust,std_cv_clust
1,PLV,L,0.22527974025047498,0.11780374117247544,0.19485731149101293,0.06908843365423774,0.1802963650518949,0.04560091708480756
1,PLV,R,0.22462192065010478,0.11678514112838713,0.19391604004815233,0.0670569522148311,0.18184426798975784,0.044117273650960694
2,PLV,L,0.2836054653685365,0.15097424661961278,0.21934006708065448,0.09884280190675852,0.20152418609190248,0.06637936274772763
2,PLV,R,0.28886249679596027,0.15203299578972632,0.23005877066923466,0.09926753998133984,0.21243345760412125,0.06658667023201248
5,PLV,L,0.16464998215733842,0.08882762229340027,0.13465311612917272,0.04889822941566794,0.11659659468247925,0.03391844087688718
5,PLV,R,0.16358668298667442,0.08741744792419782,0.13717139807642378,0.04704756743318275,0.1200419253347534,0.03211386817291072
9,PLV,L,0.27388717009150293,0.15562967953680112,0.16760894849094965,0.05668649346452736,0.1612804727952502,0.040982008178301624
9,PLV,R,0.26926571839924424,0.1563732737402385,0.16605541187683262,0.05905695574868597,0.161225767606869,0.04326823126702982
21,PLV,L,0.205697795543614,0.11771324257806057,0.11953441134468963,0.030687826928654884,0.13235479876126624,0.023783571936379498
21,PLV,R,0.20434822686302015,0.11953413198588891,0.1160187587570441,0.02960781080758405,0.12849612713999284,0.023337800315171502
31,PLV,L,0.22181253552048524,0.14163866642700504,0.15108623563023693,0.034164948176353266,0.1565640719354364,0.029368997870038493
31,PLV,R,0.22175516976178464,0.13271201114463388,0.14871676372101678,0.029455476640177565,0.15686589746052576,0.025420820103259613
34,PLV,L,0.2643930925734623,0.1499253820061066,0.14064423666141637,0.043515363108141046,0.15067254686158987,0.029586246401202044
34,PLV,R,0.25731309260348395,0.15436239689314118,0.12737474592178746,0.04216873304989522,0.13556903904180642,0.028945158892873933
39,PLV,L,0.22830856620918105,0.1472417154176016,0.10684674751341663,0.01754557883028199,0.12813052580698608,0.01632164751999084
39,PLV,R,0.23488074209540316,0.14639696695451263,0.11907057156062005,0.02300993418446226,0.13596159554215423,0.02013025289675347
1,ImagPLV,L,9.681269725320659,19.663194727513307,0.4668840465302797,0.04847364433111201,0.2849702293984951,0.023752980583462494
1,ImagPLV,R,15.851699034503818,66.98419008310972,0.45664405217638265,0.04681022223682287,0.28199227403359167,0.02469698093414299
2,ImagPLV,L,30.45826586510147,116.45086319204312,0.46942310787565683,0.08067516522021427,0.27840618137872036,0.028494254903299657
2,ImagPLV,R,30.33759533482687,130.13888081301937,0.4587082206800315,0.08310071911971544,0.28492590576267457,0.02948644395270851
5,ImagPLV,L,18.37385312033076,53.213550328954796,0.581697550231346,0.21947399562911504,0.2855912532148908,0.02101500619758096
5,ImagPLV,R,16.141841845362634,31.596116300743446,0.5866638395001833,0.24498767531171745,0.27838424098418485,0.02513287876949399
9,ImagPLV,L,16.048655319040726,72.65918849515617,0.3767315387731393,0.03951317052621244,0.253141587330501,0.02441153226750913
9,ImagPLV,R,19.784677276692502,177.5139636843918,0.3805024570555188,0.03376117197924563,0.252872432532712,0.02189708045550898
21,ImagPLV,L,5.241802991718575,16.2272632721113,0.4359364781359578,0.05888705864170526,0.3112977117524287,0.0178448044022024
21,ImagPLV,R,4.948877877974042,12.291800801834897,0.4189752350992662,0.04226988414285363,0.30059976213748185,0.012757148757877597
31,ImagPLV,L,14.7111036121901,64.48899630420703,0.453461272101292,0.02121681683982482,0.27607902857990885,0.015432480963423603
31,ImagPLV,R,5.164212502236992,9.97219366407958,0.44124715597828085,0.02089796798176707,0.25972305188725126,0.018221626550207076
34,ImagPLV,L,15.057293508788396,59.02851852152295,0.34606130625094833,0.0322565465629678,0.2408385178421088,0.023155366210073185
34,ImagPLV,R,10.273415308510902,26.20381119514163,0.3511073115106584,0.027135677713761682,0.23382023378793976,0.01481260294031663
