subject,metric,feature_type,i_idx,j_idx,i_label,j_label,cv,kl
1,PLV,edges,3,5.0,F3,F4,0.11618983508422386,0.6663562643984168
1,PLV,edges,3,8.0,F3,C3,0.0671007578868241,0.5422293378608821
1,PLV,edges,3,10.0,F3,C4,0.1268807074692861,0.45239634439085297
1,PLV,edges,3,13.0,F3,P3,0.14850348619562054,0.6260584951811217
1,PLV,edges,3,14.0,F3,Pz,0.14822704037959472,0.43625081384249337
1,PLV,edges,4,5.0,Fz,F4,0.053487675191440265,0.46935889936774494
1,PLV,edges,4,14.0,Fz,Pz,0.13658185890056873,0.6085093422705323
1,PLV,edges,5,11.0,F4,T8,0.14893315911317345,0.7905002062864394
1,PLV,edges,8,13.0,C3,P3,0.06799113246358551,0.5842675631439764
1,PLV,edges,9,14.0,Cz,Pz,0.05989059250216673,0.5057786477768642
1,PLV,edges,9,15.0,Cz,P4,0.07121784252377489,0.4710821220678656
1,PLV,edges,9,16.0,Cz,P8,0.14287987817994008,0.6016238001529893
1,PLV,edges,10,15.0,C4,P4,0.05894021234368967,0.9177170236441896
1,PLV,edges,10,18.0,C4,O2,0.14617727777805684,0.48971842367269225
1,PLV,edges,11,16.0,T8,P8,0.14436140447326082,0.7845172335636443
1,PLV,edges,12,13.0,P7,P3,0.06358222039465253,0.5191094886771879
1,PLV,edges,12,14.0,P7,Pz,0.11588147851377967,0.5914478046326308
1,PLV,edges,13,15.0,P3,P4,0.07591737256193372,0.527780209122805
1,PLV,edges,13,16.0,P3,P8,0.14696101756350488,0.7429309040351159
1,PLV,edges,13,18.0,P3,O2,0.09959144580359566,0.5288145081974143
1,PLV,edges,14,15.0,Pz,P4,0.02621973330486016,0.7933724655344517
1,PLV,edges,14,16.0,Pz,P8,0.08666939993482739,0.6313645143390804
1,PLV,edges,14,17.0,Pz,O1,0.06903349615072527,0.629885010372072
1,PLV,edges,15,18.0,P4,O2,0.057323652013660506,0.9586723970975815
1,PLV,edges,16,17.0,P8,O1,0.14733494989629542,0.5495839388351547
1,PLV,ns,4,,Fz,,0.14019930782221324,0.5889062225720385
2,PLV,edges,3,4.0,F3,Fz,0.17523185382990902,0.7891258932302534
2,PLV,edges,3,8.0,F3,C3,0.14522350333749995,0.8459156200671846
2,PLV,edges,4,5.0,Fz,F4,0.08519520984519822,0.9511949675886882
2,PLV,edges,4,8.0,Fz,C3,0.1146914799120555,0.64578004487357
2,PLV,edges,4,9.0,Fz,Cz,0.07241824661799404,0.6810977230573659
2,PLV,edges,5,8.0,F4,C3,0.1676771475721225,0.8673199970676044
2,PLV,edges,5,9.0,F4,Cz,0.11161295814624268,0.9319882465350885
2,PLV,edges,5,10.0,F4,C4,0.10030222573871878,0.7261712110945447
2,PLV,edges,10,11.0,C4,T8,0.1119074684380838,0.7083985480640071
2,PLV,edges,10,15.0,C4,P4,0.06666147725919584,0.6592865710424481
2,PLV,edges,13,14.0,P3,Pz,0.04910056918553269,1.0584720074486613
2,PLV,edges,14,16.0,Pz,P8,0.10774419423172892,0.6806760415512682
2,PLV,edges,14,18.0,Pz,O2,0.08210519276922736,0.6373077574279443
2,PLV,ns,13,,P3,,0.1450570305657855,0.9911907542506861
2,PLV,ns,15,,P4,,0.14130137655621305,0.8922484527435176
5,PLV,edges,3,5.0,F3,F4,0.08683035570642388,0.6462812319078503
5,PLV,edges,4,5.0,Fz,F4,0.0413454823345194,0.6233093881949732
5,PLV,edges,4,14.0,Fz,Pz,0.10850510446603287,0.7764373290056306
5,PLV,edges,5,6.0,F4,F8,0.10529296057206436,0.7012081194808766
5,PLV,edges,8,10.0,C3,C4,0.10676055977755437,0.6575358716133003
5,PLV,edges,8,13.0,C3,P3,0.047564184739929044,0.9770099204992514
5,PLV,edges,8,14.0,C3,Pz,0.06611552877588628,1.0783267227011457
5,PLV,edges,10,14.0,C4,Pz,0.06884077411235687,0.7244165440443363
5,PLV,edges,10,16.0,C4,P8,0.09083188516617756,1.173484638334501
5,PLV,edges,13,14.0,P3,Pz,0.03029774796385821,1.2572892657558836
5,PLV,edges,13,15.0,P3,P4,0.06959290448166391,0.820596097595752
5,PLV,edges,14,15.0,Pz,P4,0.02897418738603729,0.8197577119276795
5,PLV,edges,14,16.0,Pz,P8,0.09990477545508816,0.7096796106361027
5,PLV,ns,4,,Fz,,0.09938359951614037,0.6421232755595645
9,PLV,edges,1,3.0,FP2,F3,0.1697904148068743,0.623313645917162
9,PLV,edges,3,4.0,F3,Fz,0.04141008380813235,0.7703732231827372
9,PLV,edges,4,8.0,Fz,C3,0.09545668782336499,0.7891067812155224
9,PLV,edges,5,8.0,F4,C3,0.1425949109961549,1.1673025459921664
9,PLV,edges,5,9.0,F4,Cz,0.09621229767137471,0.8070039365176228
9,PLV,edges,5,10.0,F4,C4,0.0953471544082344,0.804094047408928
9,PLV,edges,7,8.0,T7,C3,0.07142262797755686,0.6123904968575282
9,PLV,edges,7,9.0,T7,Cz,0.16808944539605436,0.6126307539956983
9,PLV,edges,7,12.0,T7,P7,0.10526537197419669,1.041534798118379
9,PLV,edges,8,9.0,C3,Cz,0.05777312732221365,0.8255132015425404
